Time,Amps,Volts,Torque 8V (N · m)
0.001,86.51,8.001,0.525
0.365,104.02,8.002,0.509
0.769,101.39,8.001,0.497
1.173,93,8.002,0.482
1.553,89.96,8.002,0.47
1.932,87.23,8.002,0.455
2.299,84.44,8.002,0.445
2.658,82.35,8.001,0.411
3.006,74.69,8.002,0.404
3.356,74.41,8.002,0.399
3.732,72.83,8.001,0.422
4.081,78.07,8.002,0.417
4.43,77.02,8.002,0.412
4.78,75.95,8.002,0.405
5.128,74.57,8.001,0.399
5.504,73.51,8.001,0.395
5.854,72.52,8.002,0.389
6.203,71.52,8.001,0.388
6.552,71.48,8.002,0.385
6.9,71,8.001,0.383
7.276,70.07,8.001,0.378
7.626,69.35,8.002,0.377
7.975,69.4,8.002,0.374
8.324,68.58,8.002,0.37
8.672,68.02,8.002,0.366
9.049,67.19,8.002,0.362
9.398,66.42,8.001,0.359
9.748,65.86,8.001,0.354
10.097,64.8,8.002,0.354
10.445,65.2,8.001,0.352
10.795,64.8,8.002,0.348
11.155,63.63,8.002,0.344
11.511,63.16,8.002,0.342
11.869,65.51,8.001,0.339
12.219,65.14,8.001,0.32
12.567,69.71,8.002,0.314
12.918,71.37,8.002,0.31
13.294,71.91,8.002,0.306
13.642,71.6,8.001,0.282
13.992,83.13,8.002,0.274
14.341,84.26,8.002,0.267
14.691,90.63,8.002,0.241
15.066,101.64,8.002,0.148
15.415,87.09,8.001,0.108
15.764,67.81,8.002,0.044
16.115,20.72,8.001,0.041
16.463,19.85,8.002,0.044
16.839,16.73,8.001,0.042
17.187,17.98,8.001,0.039
17.537,18.16,8.001,0.041
17.886,18.45,8.001,0.044
18.235,18.43,8.001,0.042
18.611,19.62,8.001,0.038
18.96,12.61,8.002,0.032
19.309,11.3,8.001,0.033
19.658,11.67,8.002,0.034
20.007,10.95,8.002,0.037
20.384,11,8.002,0.041
20.732,10.72,8.002,0.035
21.082,11.89,8.002,0.042
21.431,10.28,8.001,0.037
21.781,11.43,8.001,0.032
22.129,10.94,8.001,0.034
22.506,10.84,8.002,0.034
22.855,9.87,8.001,0.042
23.204,11.45,8.002,0.027
23.553,9.06,8.002,0.037
23.903,9.4,8.001,0.034
24.251,10.1,8.002,0.027
24.626,8.62,8.002,0.032
24.977,10.31,8.001,0.031
25.325,8.95,8.001,0.03
25.675,9.1,8.001,0.028
26.022,10.79,8.002,0.031
26.398,9.39,8.001,0.028
26.748,9.7,8.001,0.029
27.097,8.61,8.002,0.027
27.446,9.29,8.002,0.03
27.795,8.34,8.002,0.028
28.171,7.59,8.001,0.028
28.52,8.04,8.002,0.03
28.87,7.81,8.002,0.027
29.219,8.1,8.001,0.026
29.568,7.42,8.002,0.024
29.944,6.71,8.002,0.025
30.293,7.66,8.002,0.025
30.644,7.08,8.001,0.025
30.991,6.32,8.001,0.024
31.341,6.65,8.002,0.021
31.717,6.17,8.002,0.019
32.066,6.39,8.002,0.02
32.416,5.89,8.002,0.02
32.765,5.82,8.002,0.02
33.114,6.03,8.002,0.019
33.489,5.93,8.001,0.025
33.839,5.49,8.001,0.017
34.187,6.42,8.002,0.023
34.537,6.46,8.001,0.019
34.886,4.62,8.002,0.02
35.263,5.5,8.002,0.018
35.611,5.2,8.002,0.019
35.96,5.57,8.002,0.019
36.308,5.44,8.002,0.016
36.658,6.14,8.002,0.015
37.034,4.73,8.002,0.016
37.383,4.93,8.002,0.018
37.733,5.73,8.002,0.017
38.082,4,8.002,0.014
38.43,4.63,8.001,0.014
38.808,4.31,8.002,0.018
39.156,3.64,8.002,0.013
39.507,3.9,8.002,0.015
39.853,3.95,8.002,0.018
40.204,3.97,8.001,0.014
40.552,4.8,8.001,0.014
40.902,3.92,8.002,0.014
41.279,3.54,8.002,0.013
41.627,4.02,8.001,0.012
41.977,3.04,8.002,0.012
42.325,3.29,8.001,0.014
42.674,2.67,8.002,0.012
43.05,3.41,8.002,0.01
43.4,3.64,8.002,0.014
43.748,2.57,8.002,0.011
44.099,2.65,8.002,0.012
44.446,2.55,8.001,0.011
44.822,3.28,8.002,0.012
45.171,2.57,8.002,0.011
45.52,2.74,8.001,0.012
45.869,2.34,8.002,0.011
46.246,2.43,8.002,0.012
46.595,2.15,8.002,0.009
46.943,2.36,8.001,0.011
47.292,2.27,8.001,0.01
47.641,2.55,8.001,0.01
47.991,1.63,8.002,0.01
48.368,1.91,8.002,0.011
48.716,1.66,8.002,0.008
49.067,1.93,8.002,0.008
49.414,1.83,8.002,0.008
49.765,1.68,8.001,0.008
50.124,1.68,8.002,0.008
50.48,1.58,8.002,0.008
50.84,1.18,8.001,0.008
51.189,1.38,8.002,0.007
51.537,1.28,8.002,0.007
51.913,1.23,8.002,0.007
52.262,1.43,8.002,0.008
52.61,0.95,8.002,0.005
52.962,0.96,8.001,0.007
53.31,0.93,8.001,0.007
53.686,1.07,8.002,0.007
54.034,0.74,8.002,0.005
54.383,0.77,8.002,0.005
54.732,0.73,8.002,0.005
55.082,0.76,8.002,0.002
55.457,0.89,8.002,0.007
55.806,0.72,8.002,0.004
56.155,0.63,8.002,0.004
56.504,0.6,8.001,0.003
56.853,0,8.002,0.003
57.23,0,8.002,0.003
57.579,0,8.002,0.003
57.929,0,8.002,0.003
58.277,0,8.002,0.003
58.627,0,8.002,0.003
58.975,0,8.002,0.003
59.352,0,8.002,0.003
59.701,0,8.002,0.004
60.05,0,8.002,0.004
60.398,0,8.002,0.004
