Time,Amps,Volts,Torque 7.2V (N · m)
0.003,5.22,7.201,0.895
0.418,5.01,7.201,0.883
0.822,4.81,7.201,0.866
1.197,4.67,7.201,0.852
1.611,4.58,7.201,0.841
1.987,4.47,7.201,0.832
2.36,4.39,7.201,0.824
2.709,4.3,7.201,0.817
3.059,4.15,7.201,0.812
3.407,4.1,7.201,0.806
3.767,4.05,7.201,0.801
4.123,3.99,7.201,0.796
4.481,3.95,7.201,0.792
4.831,3.9,7.201,0.788
5.179,3.84,7.201,0.785
5.53,3.82,7.201,0.781
5.906,3.79,7.201,0.779
6.256,3.77,7.201,0.776
6.603,3.75,7.201,0.773
6.954,3.74,7.201,0.769
7.302,3.71,7.201,0.768
7.676,3.7,7.201,0.765
8.027,3.68,7.201,0.763
8.376,3.67,7.201,0.761
8.725,3.64,7.201,0.759
9.074,3.62,7.201,0.757
9.449,3.62,7.201,0.754
9.799,3.6,7.201,0.753
10.147,3.59,7.201,0.75
10.497,3.56,7.201,0.75
10.872,3.55,7.201,0.748
11.223,3.54,7.201,0.746
11.573,3.53,7.201,0.744
11.92,3.52,7.201,0.742
12.27,3.51,7.201,0.741
12.619,3.59,7.201,0.74
12.995,3.57,7.201,0.739
13.344,3.57,7.201,0.736
13.694,3.54,7.201,0.736
14.041,3.53,7.201,0.734
14.393,3.51,7.201,0.733
14.767,3.49,7.201,0.731
15.117,3.48,7.201,0.73
15.467,3.46,7.201,0.729
15.816,3.44,7.201,0.729
16.164,3.42,7.201,0.727
16.54,3.37,7.201,0.725
16.89,3.37,7.201,0.726
17.238,3.37,7.201,0.724
17.588,3.36,7.201,0.722
17.937,3.33,7.201,0.722
18.313,3.33,7.201,0.721
18.662,3.32,7.201,0.72
19.011,3.31,7.201,0.718
19.36,3.31,7.201,0.717
19.71,3.29,7.201,0.718
20.086,3.29,7.201,0.716
20.435,3.29,7.201,0.715
20.784,3.28,7.201,0.714
21.133,3.27,7.201,0.714
21.483,3.27,7.201,0.712
21.83,3.26,7.201,0.712
22.19,3.25,7.201,0.711
22.547,3.32,7.201,0.709
22.905,3.38,7.201,0.71
23.257,3.37,7.201,0.709
23.604,3.35,7.201,0.708
23.954,3.33,7.201,0.707
24.329,3.31,7.201,0.706
24.678,3.3,7.201,0.705
25.028,3.29,7.201,0.705
25.376,3.17,7.201,0.704
25.726,3.17,7.201,0.703
26.101,3.16,7.201,0.703
26.452,3.19,7.201,0.702
26.801,3.22,7.201,0.702
27.15,3.23,7.201,0.701
27.498,3.23,7.201,0.699
27.874,3.22,7.201,0.699
28.222,3.22,7.201,0.699
28.572,3.21,7.201,0.698
28.938,3.2,7.201,0.697
29.325,3.18,7.201,0.697
29.676,3.18,7.201,0.696
30.023,3.17,7.201,0.696
30.373,3.16,7.201,0.694
30.723,3.17,7.201,0.694
31.098,3.16,7.201,0.694
31.446,3.16,7.201,0.693
31.797,3.14,7.201,0.693
32.144,3.06,7.201,0.692
32.521,3.03,7.201,0.691
32.869,3.03,7.201,0.691
33.217,3.04,7.201,0.691
33.568,3.04,7.201,0.69
33.917,3.04,7.201,0.69
34.266,3.04,7.201,0.689
34.643,3.04,7.201,0.689
34.991,3.04,7.201,0.688
35.341,3.02,7.201,0.687
35.69,3.03,7.201,0.687
36.04,3.02,7.201,0.687
36.388,3.02,7.201,0.686
36.766,3.01,7.201,0.685
37.113,2.99,7.201,0.685
37.464,3,7.201,0.684
37.813,3.01,7.201,0.683
38.163,3,7.201,0.684
38.539,3,7.201,0.683
38.887,2.99,7.201,0.682
39.236,2.98,7.201,0.682
39.586,2.98,7.201,0.681
39.935,2.98,7.201,0.681
40.309,2.98,7.201,0.681
40.66,2.98,7.201,0.681
41.007,2.96,7.201,0.679
41.36,2.96,7.201,0.68
41.707,2.97,7.201,0.679
42.083,2.97,7.201,0.679
42.432,2.96,7.201,0.678
42.78,2.98,7.201,0.678
43.129,2.95,7.201,0.678
43.478,2.94,7.201,0.677
43.855,2.94,7.201,0.677
44.203,2.94,7.201,0.675
44.553,2.94,7.201,0.676
44.9,2.94,7.201,0.675
45.25,2.93,7.201,0.675
45.628,3.02,7.201,0.675
45.976,3,7.201,0.674
46.326,2.98,7.201,0.674
46.675,2.98,7.201,0.674
47.024,2.99,7.201,0.672
47.372,3,7.201,0.674
47.749,2.99,7.201,0.673
48.098,2.99,7.201,0.672
48.447,2.98,7.201,0.671
48.796,2.98,7.201,0.672
49.146,2.97,7.201,0.67
49.521,2.97,7.201,0.671
49.871,2.96,7.201,0.67
50.221,2.92,7.201,0.669
50.57,2.93,7.201,0.67
50.919,2.93,7.201,0.669
51.267,2.93,7.201,0.669
51.642,2.93,7.201,0.668
51.991,2.92,7.201,0.669
52.341,2.91,7.201,0.667
52.689,2.89,7.201,0.667
53.067,2.91,7.201,0.667
53.417,2.9,7.201,0.666
53.766,2.91,7.201,0.667
54.115,2.9,7.201,0.666
54.463,2.9,7.201,0.665
54.812,2.91,7.201,0.666
55.19,2.89,7.201,0.665
55.537,2.89,7.201,0.665
55.888,2.88,7.201,0.665
56.235,2.88,7.201,0.664
56.587,2.88,7.201,0.664
56.934,2.87,7.201,0.664
57.31,2.87,7.201,0.664
57.66,2.88,7.201,0.663
58.008,2.88,7.201,0.663
58.358,2.88,7.201,0.662
58.734,2.88,7.201,0.662
59.085,2.87,7.201,0.661
59.432,2.87,7.201,0.662
59.782,2.87,7.201,0.661
60.129,2.87,7.201,0.661
60.506,2.87,7.201,0.66
60.855,2.87,7.201,0.66
61.204,2.87,7.201,0.659
61.553,2.84,7.201,0.659
61.902,2.89,7.201,0.659
62.302,2.88,7.201,0.659
62.683,2.87,7.201,0.658
63.056,2.87,7.201,0.658
63.405,2.87,7.201,0.658
63.754,2.87,7.201,0.658
64.13,2.86,7.201,0.658
64.479,2.86,7.201,0.657
64.829,2.85,7.201,0.657
65.178,2.84,7.201,0.657
65.526,2.83,7.201,0.656
65.876,2.84,7.201,0.656
66.224,2.83,7.201,0.656
66.601,2.85,7.201,0.655
66.95,2.85,7.201,0.656
67.299,2.85,7.201,0.655
67.648,2.84,7.201,0.655
67.999,2.86,7.201,0.655
68.373,2.86,7.201,0.654
68.724,2.86,7.201,0.654
69.072,2.85,7.201,0.654
69.422,2.85,7.201,0.654
69.771,2.85,7.201,0.653
70.145,2.85,7.201,0.653
70.497,2.85,7.201,0.652
70.851,2.84,7.201,0.653
71.25,2.83,7.201,0.652
71.597,2.8,7.201,0.652
71.948,2.8,7.201,0.652
72.296,2.8,7.201,0.651
72.645,2.79,7.201,0.651
73.021,2.79,7.201,0.651
73.371,2.79,7.201,0.651
73.721,2.79,7.201,0.65
74.069,2.79,7.201,0.65
74.418,2.78,7.201,0.65
74.767,2.78,7.201,0.65
75.143,2.76,7.201,0.649
75.49,2.73,7.201,0.649
75.84,2.75,7.201,0.649
76.19,2.76,7.201,0.649
76.565,2.77,7.201,0.648
76.914,2.76,7.201,0.648
77.264,2.76,7.201,0.648
77.613,2.75,7.201,0.648
77.96,2.75,7.201,0.647
78.322,2.75,7.201,0.647
78.704,2.73,7.201,0.647
79.063,2.74,7.201,0.647
79.412,2.74,7.201,0.646
79.788,2.73,7.201,0.646
80.138,2.72,7.201,0.646
