Time,Amps,Volts,Torque 8V (N · m)
0.001,0,0,0.18
0.146,0,0,0.178
0.289,0,0,0.174
0.432,0,0,0.172
0.573,0,0,0.171
0.674,0,0,0.17
0.815,0,0,0.169
0.956,0,0,0.169
1.053,0,0,0.168
1.175,0,0,0.168
1.286,0,0,0.167
1.393,0,0,0.167
1.509,0,0,0.167
1.621,0,0,0.166
1.736,0,0,0.166
1.845,0,0,0.166
1.951,0,0,0.166
2.061,0,0,0.165
2.169,0,0,0.165
2.281,0,0,0.165
2.387,0,0,0.165
2.512,0,0,0.165
2.629,0,0,0.164
2.734,0,0,0.164
2.842,0,0,0.164
2.946,0,0,0.164
3.053,0,0,0.164
3.168,0,0,0.164
3.304,0,0,0.163
3.429,0,0,0.163
3.535,0,0,0.163
3.641,0,0,0.163
3.759,0,0,0.163
3.872,0,0,0.163
3.98,0,0,0.163
4.099,0,0,0.163
4.211,0,0,0.162
4.316,0,0,0.162
4.423,0,0,0.162
4.533,0,0,0.162
4.641,0,0,0.162
4.75,0,0,0.162
4.859,0,0,0.162
4.973,0,0,0.162
5.081,0,0,0.161
5.187,0,0,0.161
5.294,0,0,0.161
5.404,0,0,0.161
5.515,0,0,0.161
5.634,0,0,0.161
5.741,0,0,0.161
5.861,0,0,0.161
5.965,0,0,0.16
6.073,0,0,0.16
6.175,0,0,0.16
6.292,0,0,0.16
6.43,0,0,0.16
6.543,0,0,0.16
6.649,0,0,0.16
6.757,0,0,0.16
6.865,0,0,0.16
6.97,0,0,0.16
7.081,0,0,0.16
7.187,0,0,0.16
7.308,0,0,0.159
7.421,0,0,0.159
7.527,0,0,0.159
7.635,0,0,0.159
7.745,0,0,0.159
7.853,0,0,0.159
7.977,0,0,0.159
8.09,0,0,0.159
8.197,0,0,0.159
8.303,0,0,0.159
8.41,0,0,0.159
8.519,0,0,0.159
8.63,0,0,0.159
8.733,0,0,0.159
8.842,0,0,0.158
8.954,0,0,0.158
9.06,0,0,0.158
9.167,0,0,0.158
9.273,0,0,0.158
9.382,0,0,0.158
9.499,0,0,0.158
9.599,0,0,0.158
9.707,0,0,0.158
9.815,0,0,0.158
9.924,0,0,0.158
10.033,0,0,0.158
