Time,Current (A),Power Output (W)
0,3.83,22.815
0.417,3.83,20.395
0.822,3.81,22.442
1.199,3.81,19.716
1.601,3.81,20.778
1.99,3.8,22.442
2.347,3.79,16.603
2.704,3.79,20.031
3.061,3.79,20.722
3.411,3.79,20.747
3.76,3.78,20.747
4.136,3.78,19.704
4.485,3.77,22.456
4.836,3.77,17.268
5.238,3.77,16.598
5.588,3.77,21.758
5.936,3.75,16.593
6.287,3.74,22.435
6.634,3.75,20.735
6.984,3.73,20.068
7.361,3.73,21.061
7.71,3.71,20.728
8.098,3.72,20.747
8.478,3.72,22.083
8.838,3.73,16.618
9.185,3.73,22.428
9.546,3.73,16.603
9.901,3.73,16.613
10.261,3.73,21.4
10.611,3.73,20.747
11.013,3.74,21.771
11.362,3.73,17.975
11.71,3.73,20.049
12.087,3.73,21.08
12.437,3.73,20.741
12.787,3.73,22.11
13.135,3.73,19.662
13.485,3.73,22.449
13.832,3.74,21.067
14.184,3.74,20.753
14.559,3.74,22.476
14.961,3.74,20.741
15.328,3.73,20.062
15.686,3.72,21.419
16.039,3.72,16.949
16.44,3.73,22.13
16.788,3.72,19.37
17.137,3.72,16.949
17.513,3.71,20.728
17.862,3.71,20.062
18.211,3.71,22.077
18.561,3.71,18.672
18.91,3.7,20.735
19.288,3.7,22.11
19.653,3.7,20.37
20.012,3.71,22.137
20.388,3.71,21.406
20.738,3.7,20.395
21.087,3.69,21.751
21.49,3.69,17.279
21.84,3.7,19.716
22.187,3.69,21.745
22.537,3.71,17.315
22.885,3.7,21.758
23.237,3.7,20.735
23.595,3.69,22.103
23.95,3.68,21.771
24.311,3.68,19.358
24.715,3.68,21.732
25.061,3.68,20.395
25.41,3.67,19.722
25.76,3.68,22.097
26.11,3.68,20.747
26.487,3.68,21.106
26.835,3.68,21.745
27.185,3.67,21.099
27.533,3.67,20.013
27.883,3.68,19.018
28.232,3.67,20.062
28.609,3.67,17.274
28.974,3.68,19.71
29.333,3.68,21.406
29.709,3.67,17.64
30.058,3.66,21.086
30.406,3.67,21.406
30.755,3.67,20.414
31.105,3.66,21.771
31.48,3.66,16.598
31.83,3.67,22.097
32.18,3.67,20.377
32.53,3.66,16.603
32.878,3.66,17.64
33.256,3.66,19.71
33.619,3.66,20.019
33.981,3.66,20.703
34.339,3.66,16.618
34.722,3.66,21.048
35.081,3.65,20.753
35.457,3.65,20.747
35.804,3.65,21.778
36.154,3.65,20.697
36.504,3.65,22.117
36.854,3.65,20.377
37.232,3.64,20.056
37.596,3.65,20.383
37.955,3.65,16.262
38.305,3.64,21.751
38.68,3.64,22.117
39.03,3.63,16.943
39.38,3.63,21.426
39.766,3.64,20.395
40.12,3.64,22.117
40.481,3.64,21.393
40.829,3.64,19.71
41.179,3.64,21.465
41.528,3.63,21.4
41.905,3.63,19.71
42.306,3.62,21.771
42.673,3.62,19.698
43.032,3.62,20.395
43.382,3.62,19.018
43.767,3.62,16.623
44.125,3.62,20.019
44.482,3.61,16.247
44.86,3.62,21.758
45.209,3.62,19.692
45.556,3.62,20.728
45.91,3.62,22.11
46.311,3.61,17.289
46.659,3.61,21.413
47.008,3.61,21.387
47.359,3.6,20.741
47.762,3.61,21.413
48.164,3.61,20.407
48.529,3.61,20.766
48.89,3.6,20.395
49.238,3.61,20.056
49.587,3.61,21.413
49.948,3.6,19.692
50.302,3.61,18.321
50.662,3.62,20.037
51.091,3.61,19.37
51.439,3.6,21.426
51.817,3.6,18.672
52.166,3.6,20.364
52.515,3.61,21.055
52.864,3.6,20.037
53.213,3.59,21.086
53.564,3.59,16.603
53.941,3.6,19.358
54.288,3.6,21.419
54.638,3.59,19.364
54.988,3.6,21.426
55.375,3.6,18.332
55.731,3.59,19.71
56.088,3.59,19.364
56.439,3.59,19.364
56.813,3.59,21.765
57.163,3.6,20.37
57.513,3.6,19.37
57.86,3.6,20.716
58.21,3.6,16.928
58.586,3.6,21.419
58.936,3.59,17.943
59.302,3.6,21.055
59.661,3.6,21.758
60.036,3.6,19.704
60.388,3.59,21.426
60.789,3.6,19.704
61.138,3.59,19.03
61.486,3.59,21.061
61.838,3.59,16.933
62.246,3.59,21.765
62.607,3.6,20.377
62.964,3.6,19.71
63.323,3.61,20.031
63.68,3.6,18.678
64.037,3.61,21.067
64.388,3.6,20.401
64.737,3.6,16.247
65.086,3.6,20.377
65.462,3.6,19.37
65.812,3.6,21.406
66.161,3.61,20.722
66.511,3.6,16.252
66.913,3.61,21.067
67.262,3.61,16.933
67.613,3.6,18.299
67.96,3.6,18.277
68.337,3.6,20.395
68.685,3.59,21.086
69.036,3.59,20.056
69.438,3.58,20.716
69.788,3.59,21.042
70.136,3.59,18.667
70.485,3.58,19.698
70.834,3.59,19.364
71.211,3.58,17.954
71.56,3.58,20.389
71.91,3.59,19.71
72.259,3.59,21.086
72.609,3.59,19.376
72.958,3.6,19.364
73.307,3.59,20.37
73.701,3.59,17.279
74.059,3.58,21.426
74.434,3.59,19.71
74.785,3.57,16.933
75.134,3.56,21.048
75.483,3.56,19.352
75.894,3.57,21.093
76.288,3.57,20.031
76.664,3.58,19.358
77.013,3.59,20.37
77.363,3.58,15.579
77.722,3.57,21.419
78.077,3.58,20.407
78.436,3.6,20.395
78.788,3.59,20.389
79.151,3.59,20.062
79.538,3.59,20.76
79.889,3.6,17.614
80.237,3.6,17.274
80.597,3.6,20.722
