Time,Amps,Volts,Torque 6V (N · m)
0.004,9.91,6.001,0.1986
0.42,9.84,6.001,0.1981
0.795,9.75,6.001,0.1978
1.198,9.76,6.001,0.1976
1.606,9.88,6.001,0.1975
1.957,9.9,6.001,0.1974
2.308,9.89,6.001,0.1973
2.657,9.88,6.001,0.1972
3.032,9.89,6.001,0.1971
3.382,9.87,6.001,0.1971
3.73,9.9,6.001,0.197
4.08,9.89,6.001,0.197
4.429,9.89,6.001,0.1969
4.805,9.87,6.001,0.1968
5.153,9.86,6.001,0.1968
5.502,9.84,6.001,0.1968
5.852,9.82,6.001,0.1967
6.202,9.81,6.001,0.1966
6.55,9.79,6.001,0.1966
6.9,9.75,6.001,0.1965
7.276,9.74,6.001,0.1965
7.625,9.74,6.001,0.1965
7.974,9.73,6.001,0.1964
8.323,9.71,6.001,0.1964
8.673,9.7,6.001,0.1964
9.049,9.7,6.001,0.1963
9.398,9.69,6.001,0.1963
9.748,9.69,6.001,0.1962
10.097,9.69,6.001,0.1962
10.446,9.68,6.001,0.1962
10.821,9.66,6.001,0.1961
11.17,9.65,6.001,0.196
11.52,9.63,6.001,0.1961
11.885,9.62,6.001,0.196
12.244,9.61,6.001,0.1959
12.592,9.59,6.001,0.1959
12.943,9.57,6.001,0.1958
13.292,9.56,6.001,0.1958
13.64,9.55,6.001,0.1957
13.99,9.53,6.001,0.1957
14.367,9.52,6.001,0.1956
14.715,9.5,6.001,0.1956
15.064,9.48,6.001,0.1955
15.413,9.47,6.001,0.1954
15.764,9.46,6.001,0.1954
16.111,9.44,6.001,0.1953
16.47,9.43,6.001,0.1952
16.827,9.42,6.001,0.1952
17.186,9.4,6.001,0.1951
17.537,9.39,6.001,0.195
17.883,9.38,6.001,0.1949
18.234,9.37,6.001,0.1949
18.61,9.37,6.001,0.1948
18.96,9.35,6.001,0.1948
19.309,9.33,6.001,0.1947
19.659,9.32,6.001,0.1946
20.006,9.31,6.001,0.1946
20.384,9.3,6.001,0.1945
20.733,9.28,6.001,0.1944
21.081,9.28,6.001,0.1943
21.431,9.27,6.001,0.1943
21.779,9.26,6.001,0.1942
22.155,9.25,6.001,0.1942
22.504,9.25,6.001,0.1941
22.852,9.24,6.001,0.1941
23.203,9.22,6.001,0.194
23.551,9.21,6.001,0.1939
23.928,9.21,6.001,0.1939
24.277,9.2,6.001,0.1938
24.626,9.18,6.001,0.1937
24.974,9.16,6.001,0.1936
25.324,9.16,6.001,0.1936
25.701,9.15,6.001,0.1935
26.049,9.14,6.001,0.1935
26.4,9.13,6.001,0.1934
26.764,9.12,6.001,0.1933
27.152,9.1,6.001,0.1933
27.5,9.1,6.001,0.1932
27.849,9.09,6.001,0.1931
28.199,9.08,6.001,0.1931
28.548,9.07,6.001,0.193
28.924,9.07,6.001,0.193
29.272,9.05,6.001,0.1929
29.623,9.05,6.001,0.1928
29.971,9.03,6.001,0.1928
30.32,9.01,6.001,0.1927
30.67,9,6.001,0.1927
31.047,8.98,6.001,0.1926
31.395,8.96,6.001,0.1925
31.745,8.96,6.001,0.1924
32.093,8.95,6.001,0.1924
32.444,8.92,6.001,0.1923
32.792,8.91,6.001,0.1922
33.169,8.9,6.001,0.1921
33.517,8.89,6.001,0.1921
33.868,8.88,6.001,0.192
34.216,8.87,6.001,0.192
34.565,8.86,6.001,0.1919
34.941,8.88,6.001,0.1919
35.289,8.87,6.001,0.1918
35.639,8.86,6.001,0.1917
35.988,8.85,6.001,0.1916
36.338,8.85,6.001,0.1916
36.714,8.84,6.001,0.1916
37.062,8.84,6.001,0.1915
37.411,8.83,6.001,0.1914
37.761,8.82,6.001,0.1914
38.11,8.83,6.001,0.1913
38.486,8.81,6.001,0.1913
38.836,8.8,6.001,0.1912
39.184,8.79,6.001,0.1912
39.534,8.8,6.001,0.1911
39.884,8.79,6.001,0.1911
40.232,8.78,6.001,0.191
40.608,8.78,6.001,0.1909
40.958,8.78,6.001,0.1909
41.307,8.77,6.001,0.1909
41.656,8.76,6.001,0.1908
42.007,8.74,6.001,0.1907
42.353,8.73,6.001,0.1907
42.732,8.72,6.001,0.1906
43.081,8.72,6.001,0.1906
43.43,8.72,6.001,0.1905
43.778,8.72,6.001,0.1905
44.129,8.71,6.001,0.1904
44.477,8.7,6.001,0.1903
44.853,8.69,6.001,0.1903
45.202,8.69,6.001,0.1903
45.551,8.68,6.001,0.1909
45.901,8.67,6.001,0.1916
46.248,8.65,6.001,0.1895
46.624,8.64,6.001,0.1908
46.975,8.62,6.001,0.1912
47.323,8.61,6.001,0.1908
47.672,8.57,6.001,0.191
48.021,8.57,6.001,0.1892
48.397,8.57,6.001,0.1888
48.747,8.55,6.001,0.1884
49.095,8.54,6.001,0.1881
49.445,8.55,6.001,0.1881
49.793,8.55,6.001,0.188
50.17,8.57,6.001,0.1879
50.52,8.52,6.001,0.1879
50.87,8.43,6.001,0.1878
51.217,8.45,6.001,0.1878
51.567,8.47,6.001,0.1877
51.916,8.46,6.001,0.1877
52.293,8.42,6.001,0.1876
52.642,8.44,6.001,0.1876
52.991,8.43,6.001,0.1875
53.341,8.44,6.001,0.1875
53.688,8.43,6.001,0.1875
54.039,8.43,6.001,0.1877
54.414,8.41,6.001,0.1874
54.764,8.43,6.001,0.1876
55.112,8.42,6.001,0.1873
55.463,8.4,6.001,0.1875
55.811,8.39,6.001,0.1877
56.186,8.39,6.001,0.1871
56.536,8.4,6.001,0.187
56.886,8.4,6.001,0.1869
57.251,8.4,6.001,0.1869
57.639,8.39,6.001,0.1869
57.987,8.39,6.001,0.1868
58.338,8.39,6.001,0.1868
58.685,8.39,6.001,0.1868
59.061,8.39,6.001,0.186
59.411,8.36,6.001,0.186
59.76,8.37,6.001,0.1857
60.109,8.37,6.001,0.1858
60.457,8.35,6.001,0.1779
60.834,8.35,6.001,0.1785
61.183,8.35,6.001,0.1784
61.532,8.35,6.001,0.1784
61.881,8.35,6.001,0.1783
62.253,8.33,6.001,0.1783
62.634,8.32,6.001,0.1782
62.983,8.32,6.001,0.1782
63.332,8.32,6.001,0.1782
63.681,8.32,6.001,0.1782
64.057,8.32,6.001,0.1781
64.406,8.3,6.001,0.1781
64.755,8.31,6.001,0.178
65.104,8.3,6.001,0.178
65.453,8.28,6.001,0.1779
65.802,8.28,6.001,0.1779
66.177,8.25,6.001,0.1779
66.527,8.25,6.001,0.1778
66.876,8.24,6.001,0.1778
67.225,8.23,6.001,0.1777
67.575,8.19,6.001,0.1776
67.951,8.14,6.001,0.1781
68.3,8.15,6.001,0.18
68.649,8.1,6.001,0.1796
68.998,8.07,6.001,0.1746
69.348,8.05,6.001,0.173
69.724,8.02,6.001,0.1753
70.073,8.02,6.001,0.1764
70.423,8.01,6.001,0.1757
70.771,8.01,6.001,0.1728
71.122,8.04,6.001,0.174
71.469,7.94,6.001,0.1735
71.846,7.92,6.001,0.172
72.195,7.79,6.001,0.1734
72.545,7.83,6.001,0.1739
72.893,7.82,6.001,0.1725
73.244,7.83,6.001,0.1714
73.62,7.82,6.001,0.1716
73.967,7.81,6.001,0.1712
74.318,7.91,6.001,0.1712
74.666,7.95,6.001,0.1712
75.016,7.97,6.001,0.1712
75.365,8.01,6.001,0.1712
75.742,8.02,6.001,0.1712
76.089,8.08,6.001,0.1712
76.439,8.11,6.001,0.1712
76.788,8.04,6.001,0.1712
77.147,7.99,6.001,0.1712
77.529,8,6.001,0.1712
77.889,8.02,6.001,0.1712
78.238,8.02,6.001,0.1712
78.615,8,6.001,0.1712
78.963,7.99,6.001,0.1711
79.313,7.99,6.001,0.1711
79.662,8.06,6.001,0.1712
80.011,8.09,6.001,0.1711
80.388,8.03,6.001,0.1711
80.734,8.06,6.001,0.1712
81.086,8.05,6.001,0.1711
81.435,8.06,6.001,0.1711
81.784,8.03,6.001,0.1711
82.132,8.03,6.001,0.1711
82.507,8.04,6.001,0.1711
82.857,8.06,6.001,0.1711
83.207,8.06,6.001,0.1711
83.556,8.04,6.001,0.1711
83.905,8.04,6.001,0.1711
84.279,8.04,6.001,0.171
84.629,7.99,6.001,0.171
84.979,8.06,6.001,0.1711
85.328,8.04,6.001,0.1711
85.678,8.03,6.001,0.1711
86.054,8.06,6.001,0.171
86.402,8.08,6.001,0.1711
86.754,8.07,6.001,0.1711
87.101,8.07,6.001,0.171
87.451,7.95,6.001,0.171
87.799,7.98,6.001,0.171
88.176,7.98,6.001,0.171
88.525,7.96,6.001,0.171
88.875,7.97,6.001,0.1709
89.224,7.92,6.001,0.1709
89.572,7.93,6.001,0.1709
89.949,7.87,6.001,0.1709
90.298,7.91,6.001,0.1709
90.648,7.93,6.001,0.1709
90.996,7.93,6.001,0.1709
91.345,7.92,6.001,0.1708
91.694,7.93,6.001,0.1708
92.071,7.92,6.001,0.1708
92.42,7.91,6.001,0.1707
92.769,7.79,6.001,0.1707
93.118,7.88,6.001,0.1707
93.479,7.93,6.001,0.1707
93.859,7.97,6.001,0.1707
94.219,7.96,6.001,0.1707
94.595,7.97,6.001,0.1707
94.945,8,6.001,0.1707
95.294,7.98,6.001,0.1707
95.643,7.95,6.001,0.1707
95.991,7.96,6.001,0.1707
96.342,7.95,6.001,0.1707
96.718,7.9,6.001,0.1706
97.066,7.81,6.001,0.1705
97.416,7.8,6.001,0.1705
97.764,7.82,6.001,0.1706
98.114,7.84,6.001,0.1705
98.49,7.84,6.001,0.1705
98.839,7.86,6.001,0.1705
99.188,7.88,6.001,0.1705
99.535,7.91,6.001,0.1705
99.886,7.91,6.001,0.1705
100.245,7.92,6.001,0.1705
100.628,8.03,6.001,0.1705
100.987,8.04,6.001,0.1705
101.336,8.04,6.001,0.1705
101.713,7.85,6.001,0.1704
102.061,7.9,6.001,0.1704
102.411,7.89,6.001,0.1704
102.76,7.83,6.001,0.1704
103.109,7.81,6.001,0.1704
103.486,7.83,6.001,0.1704
103.833,7.84,6.001,0.1703
104.183,7.85,6.001,0.1703
104.532,7.87,6.001,0.1704
104.882,8.05,6.001,0.1704
105.257,8.06,6.001,0.1704
105.607,8.06,6.001,0.1704
105.956,8.04,6.001,0.1704
106.305,8.03,6.001,0.1704
106.653,8.03,6.001,0.1704
107.03,8.03,6.001,0.1704
107.378,8.03,6.001,0.1703
107.728,8.02,6.001,0.1704
108.078,8.01,6.001,0.1703
108.427,7.99,6.001,0.1703
108.775,7.99,6.001,0.1703
109.153,7.99,6.001,0.1704
109.5,7.99,6.001,0.1703
109.851,7.91,6.001,0.1703
110.2,7.88,6.001,0.1703
110.55,7.88,6.001,0.1703
110.898,7.93,6.001,0.1703
111.275,7.95,6.001,0.1703
111.624,7.97,6.001,0.1703
111.973,8.02,6.001,0.1703
112.323,8.02,6.001,0.1703
112.672,8.03,6.001,0.1703
113.047,8.04,6.001,0.1703
113.397,8.04,6.001,0.1703
113.747,8.05,6.001,0.1703
114.095,8.05,6.001,0.1703
114.445,8.04,6.001,0.1703
114.819,8.05,6.001,0.1703
115.169,8.04,6.001,0.1703
115.518,8.04,6.001,0.1703
115.867,8.04,6.001,0.1703
116.216,8.04,6.001,0.1703
116.592,8.04,6.001,0.1702
116.942,8.04,6.001,0.1703
117.291,8.03,6.001,0.1702
117.64,8.01,6.001,0.1702
117.989,8.01,6.001,0.1702
118.337,8.01,6.001,0.1702
118.698,8,6.001,0.1702
119.053,8,6.001,0.1702
119.413,8,6.001,0.1702
119.762,7.99,6.001,0.1702
120.127,8,6.001,0.1702
120.513,7.98,6.001,0.1702
120.863,7.99,6.001,0.1702
121.212,7.97,6.001,0.1702
121.587,7.98,6.001,0.1702
121.938,7.99,6.001,0.1702
122.308,7.99,6.001,0.1702
122.69,7.99,6.001,0.1702
123.038,7.98,6.001,0.1702
123.387,7.98,6.001,0.1701
123.738,7.98,6.001,0.1701
124.087,7.98,6.001,0.1702
124.436,7.97,6.001,0.1701
124.783,7.97,6.001,0.1701
125.161,7.99,6.001,0.1701
125.51,8.01,6.001,0.1701
125.859,8.02,6.001,0.1701
126.208,8.03,6.001,0.1701
126.584,8.03,6.001,0.1701
126.933,8.04,6.001,0.1701
127.282,8.05,6.001,0.1701
