Time,Current (A),Power Output (W)
0.001,14.01,178.543
0.365,53.17,154.142
0.768,46.47,156.829
1.171,47.92,152.306
1.58,48.18,162.838
1.935,47.59,146.472
2.283,46.97,148.926
2.635,46.08,154.323
2.983,45.07,150.093
3.333,44.58,149.241
3.708,44.07,146.732
4.057,43.33,143.621
4.405,42.55,137.977
4.756,41.39,139.858
5.104,41.02,140.485
5.455,40.16,142.462
5.832,39.64,134.258
6.18,38.76,132.893
6.53,38.71,132.167
6.879,38.39,130.69
7.228,38.34,134.483
7.577,37.89,133.586
7.954,37.53,135.4
8.303,37.18,129.563
8.653,36.86,124.407
9.002,36.44,125.559
9.35,36.02,125.015
9.727,35.52,125.559
10.075,35.06,132.42
10.425,34.86,123.676
10.774,34.64,121.975
11.123,34.58,121.265
11.472,34.48,128.049
11.848,34.06,122.843
12.197,33.86,122.077
12.546,33.68,121.914
12.895,33.41,121.225
13.272,33.49,116.142
13.62,33.17,116.965
13.969,33.33,124.283
14.319,33.24,117.456
14.667,33.11,117.319
15.017,33.09,117.398
15.395,33,117.358
15.742,32.85,124.345
16.092,32.79,124.469
16.441,32.52,121.144
16.79,32.46,124.889
17.166,32.32,120.009
17.515,32.17,122.257
17.864,31.99,120.416
18.215,31.92,119.281
18.616,31.72,119.849
18.965,31.63,121.265
19.315,31.47,122.522
19.664,31.37,121.185
20.024,31.31,111.194
20.406,31.13,110.584
20.766,31.1,116.161
21.115,30.96,116.731
21.49,30.86,116.75
21.84,30.71,112.638
22.188,30.63,112.694
22.538,30.55,111.934
22.888,30.5,108.681
23.263,30.45,116.77
23.612,30.3,112.207
23.962,30.19,111.416
24.31,30.12,111.747
24.66,30.04,110.529
25.036,29.93,110.566
25.385,29.88,110.139
25.735,29.71,106.292
26.085,29.66,115.591
26.434,29.63,114.982
26.784,29.5,114.963
27.142,29.4,110.066
27.499,29.33,109.382
27.858,29.17,105.751
28.207,29.09,105.452
28.555,29.06,112.45
28.905,28.92,113.097
29.282,28.93,112.431
29.631,28.8,112.282
29.981,28.8,108.699
30.33,28.69,106.743
30.679,28.73,103.897
31.028,28.6,104.475
31.406,28.49,107.837
31.791,28.35,103.742
32.173,28.16,103.897
32.533,28.16,109.346
32.918,28.18,109.827
33.273,27.98,106.814
33.633,28.01,107.425
33.982,28.11,107.622
34.333,27.95,107.478
34.708,27.9,106.957
35.057,27.81,101.126
35.407,27.77,112.488
35.756,27.72,111.194
36.106,27.68,105.54
36.453,27.54,105.505
36.83,27.61,106.186
37.179,27.62,105.104
37.529,27.44,106.672
37.877,27.55,109.236
38.227,27.43,104.859
38.576,27.5,104.877
38.951,27.37,104.877
39.301,27.37,98.547
39.649,27.18,107.478
39.999,27.01,107.981
40.349,27.01,108.79
40.724,26.89,100.514
41.074,26.87,99.34
41.424,26.83,101.838
41.775,26.78,101.906
42.177,26.77,97.47
42.527,26.8,101.193
42.928,26.82,97.969
43.277,26.65,108.053
43.626,27.44,108.554
43.978,27.58,101.075
44.325,27.99,98.214
44.675,28.38,83.914
45.023,38.25,100.229
45.391,39.96,73.548
45.748,50.53,57.467
46.099,97.25,20.492
46.447,20,11.4
46.796,19.47,22.846
47.156,18.45,31.17
47.512,17.71,14.705
47.872,17.46,32.219
48.257,17.21,8.933
48.613,19.98,28.857
48.972,19.99,20.633
49.321,20.06,18.962
49.67,20.55,24.584
50.031,23.59,28.586
50.413,24.84,20.288
50.774,25.76,18.27
51.147,43.07,12.86
51.496,75.42,1.851
51.846,8.44,12.098
52.194,8.82,0.753
52.544,10.15,10.571
52.894,11.55,2.809
53.268,11.62,1.824
53.632,13.58,0.361
54.022,50.88,0.157
54.388,0,0
54.746,0,0
55.123,0,0
55.471,0,0
55.818,0,0
56.167,0,0
56.557,0,0
56.908,0,0
57.283,0,0
57.661,0,0
58.022,0,0
58.37,0,0
58.718,0,0
59.08,0,0
59.433,0,0
59.807,0,0
60.198,0,0
60.546,0,0
60.895,0,0
61.245,0,0
61.634,0,0
62.036,0,0
62.384,0,0
62.738,0,0
63.097,0,0
63.46,0,0
63.839,0,0
64.199,0,0
64.548,0,0
64.897,0,0
65.287,0,0
65.679,0,0
