Time,Current (A),Power Output (W)
0,24.98,155.521
0.393,25.65,151.227
0.797,25.58,152.736
1.171,25.38,149.882
1.58,25.45,151.308
1.964,25.41,152.064
2.337,25.49,150.941
2.688,25.35,153.205
3.037,25.35,150.294
3.387,25.2,146.524
3.736,25.21,151.761
4.113,25.21,152.537
4.459,25.14,147.404
4.81,25.09,145.875
5.16,25.1,150.79
5.509,25,147.947
5.869,24.86,148.658
6.224,24.78,144.285
6.583,24.73,143.634
6.933,24.61,147.277
7.282,24.49,145.038
7.684,24.56,143.614
8.034,24.47,142.963
8.382,24.45,145.916
8.759,24.25,145.75
9.108,24.18,146.587
9.458,24.23,144.491
9.806,24.14,143.696
10.156,23.96,142.128
10.505,23.96,144.408
10.854,23.95,138.564
11.213,23.8,142.861
11.569,23.78,142.128
11.929,23.69,140.683
12.278,23.76,137.791
12.628,23.58,140.05
13.002,23.57,139.91
13.368,23.48,138.465
13.728,23.4,141.557
14.087,23.33,136.345
14.442,23.33,139.317
14.802,23.24,139.337
15.151,23.22,139.237
15.5,23.15,134.84
15.851,23.12,135.612
16.209,23.07,137.614
16.564,22.97,135.457
16.926,22.91,137.732
17.274,22.92,134.84
17.623,22.87,132.737
17.982,22.88,134.012
18.366,22.63,131.966
18.725,22.7,131.89
19.1,22.53,133.375
19.448,22.58,134.763
19.798,22.55,135.631
20.149,22.55,131.966
20.497,22.46,130.537
20.873,22.5,129.748
21.222,22.49,134.918
21.572,22.52,133.375
21.921,22.41,132.642
22.27,22.4,131.233
22.62,22.5,133.527
22.98,22.44,134.203
23.361,22.36,132.794
23.722,22.26,134.127
24.082,22.31,131.928
24.445,22.31,133.203
24.796,22.19,131.966
25.143,22.09,130.313
25.495,22.04,128.886
25.898,22.12,129.766
26.245,22.07,129.822
26.594,22.19,131.158
26.946,22.19,133.489
27.306,22.09,131.796
27.67,22.14,132.661
28.02,22.15,132.718
28.422,22.05,133.508
28.77,22.08,130.462
29.121,22.05,128.392
29.47,22.07,130.443
29.818,22.05,131.12
30.195,22.03,132.003
30.543,21.99,131.345
30.893,21.88,128.245
31.243,21.86,126.725
31.591,21.81,130.499
31.941,21.82,129.84
32.317,21.81,131.195
32.668,21.79,129.033
33.052,21.78,126.707
33.436,21.8,127.585
33.794,21.86,127.567
34.145,21.89,131.909
34.519,21.9,131.233
34.871,21.85,127.622
35.271,21.84,126.779
35.639,21.85,129.692
35.998,21.74,130.481
36.346,21.79,129.748
36.722,21.75,126.209
37.072,21.7,128.172
37.422,21.65,128.923
37.772,21.63,128.941
38.157,21.61,126.137
38.513,21.58,126.834
38.872,21.54,126.888
39.222,21.5,128.959
39.57,21.52,126.87
39.93,21.5,125.457
40.313,21.55,125.403
40.673,21.53,125.974
41.033,21.46,126.888
41.396,21.5,123.919
41.747,21.44,126.779
42.095,21.35,128.996
42.445,21.36,124.616
42.793,21.37,126.906
43.183,21.32,126.101
43.576,21.29,127.567
43.949,21.26,123.813
44.299,21.24,125.992
44.648,21.18,125.403
45.022,21.16,123.15
45.372,21.08,125.314
45.721,21.08,125.367
46.071,21.16,122.522
46.419,21.16,126.101
46.797,21.14,125.992
47.171,21.16,127.64
47.522,21.19,126.779
47.925,21.2,122.435
48.274,21.14,121.719
48.621,21.12,124.688
48.981,21.13,124.474
49.363,21.06,125.992
49.724,21.13,126.101
50.072,21.14,125.296
50.432,21.13,125.17
50.788,21.1,123.937
51.148,21.04,126.797
51.55,21.09,124.616
51.899,21.12,122.452
52.249,21.06,124.688
52.598,20.99,123.848
52.948,20.98,123.08
53.306,20.95,125.296
53.69,20.93,125.35
54.049,20.94,125.511
54.424,20.98,121.736
54.774,20.93,122.312
55.178,20.86,123.866
55.543,20.9,124.688
55.904,20.88,123.256
56.306,20.87,122.4
56.655,20.86,120.934
57.006,20.71,123.972
57.407,20.79,121.667
57.758,20.72,123.203
58.16,20.68,123.221
58.51,20.7,119.502
58.858,20.66,122.505
59.208,20.64,120.83
59.558,20.59,121.632
59.943,20.59,122.435
60.3,20.53,117.935
60.657,20.56,119.485
61.007,20.54,121.632
61.383,20.49,120.235
61.732,20.42,121.736
62.099,20.38,120.27
62.485,20.38,117.152
62.834,20.37,117.985
63.183,20.23,119.502
63.533,20.37,119.519
63.935,20.44,120.917
64.286,20.4,120.253
64.634,20.36,120.167
64.984,20.32,119.571
65.332,20.39,120.882
65.684,20.25,118.103
66.058,20.27,119.502
66.407,20.2,119.605
66.756,20.2,117.935
67.106,20.13,115.688
67.509,20.08,116.52
67.857,20.08,119.485
68.206,20.09,117.901
68.557,20.14,118.103
68.933,20.15,116.653
69.281,20.16,116.586
69.631,20.11,115.837
69.98,20.11,119.536
70.33,20.14,116.403
70.677,20.13,118.701
71.054,20.14,115.688
