Time,Amps,Volts,Torque 4V (N · m)
0.002,19.48,4.001,0.341
0.38,42.18,4.001,0.338
0.793,41.81,4.001,0.336
1.198,41.18,4.001,0.334
1.567,40.8,4.001,0.333
1.957,40.42,4.001,0.331
2.307,40.02,4.001,0.329
2.665,39.65,4.001,0.327
3.06,39.31,4.001,0.326
3.408,38.96,4.001,0.324
3.757,38.64,4.001,0.323
4.132,38.33,4.001,0.322
4.482,38,4.001,0.319
4.831,37.7,4.001,0.318
5.181,37.41,4.001,0.316
5.53,37.15,4.001,0.315
5.88,36.89,4.001,0.314
6.255,36.64,4.001,0.312
6.604,36.38,4.001,0.31
6.954,36.14,4.001,0.31
7.302,35.93,4.001,0.308
7.652,35.7,4.001,0.307
8.001,35.5,4.001,0.305
8.377,35.29,4.001,0.304
8.725,35.11,4.001,0.303
9.076,34.92,4.001,0.302
9.425,34.73,4.001,0.301
9.774,34.55,4.001,0.299
10.15,34.36,4.001,0.299
10.498,34.2,4.001,0.297
10.847,34.03,4.001,0.296
11.197,33.86,4.001,0.295
11.546,33.71,4.001,0.294
11.921,33.56,4.001,0.293
12.271,33.41,4.001,0.292
12.62,33.27,4.001,0.291
12.969,33.12,4.001,0.29
13.317,32.98,4,0.289
13.694,32.85,4.001,0.288
14.042,32.72,4,0.288
14.392,32.58,4.001,0.287
14.741,32.46,4.001,0.286
15.089,32.35,4.001,0.285
15.44,32.24,4.001,0.285
15.815,32.11,4.001,0.284
16.164,32.01,4.001,0.283
16.517,31.9,4.001,0.282
16.863,31.79,4.001,0.281
17.214,31.69,4.001,0.281
17.59,31.59,4.001,0.28
17.939,31.5,4.001,0.279
18.289,31.39,4.001,0.279
18.636,31.3,4.001,0.278
18.986,31.19,4.001,0.277
19.335,31.09,4.001,0.277
19.711,31,4.001,0.276
20.059,30.92,4.001,0.275
20.409,30.83,4.001,0.275
20.758,30.76,4.001,0.274
21.133,30.67,4.001,0.274
21.483,30.6,4.001,0.274
21.832,30.54,4.001,0.271
22.18,30.44,4.001,0.271
22.53,30.37,4.001,0.271
22.906,30.28,4.001,0.271
23.255,30.21,4.001,0.27
23.605,30.15,4.001,0.269
23.953,30.08,4.001,0.269
24.303,30.02,4.001,0.269
24.652,29.96,4.001,0.269
25.01,29.9,4.001,0.268
25.368,29.83,4.001,0.268
25.726,29.83,4.001,0.267
26.075,29.75,4.001,0.267
26.424,29.69,4.001,0.267
26.774,29.62,4.001,0.266
27.15,29.56,4.001,0.266
27.501,29.5,4.001,0.266
27.849,29.46,4.001,0.265
28.198,29.4,4.001,0.264
28.546,29.35,4.001,0.265
28.922,29.3,4.001,0.264
29.272,29.26,4.001,0.264
29.621,29.21,4.001,0.263
29.971,29.16,4.001,0.263
30.318,29.12,4.001,0.263
30.695,29.06,4.001,0.263
31.045,29.02,4.001,0.262
31.393,28.98,4.001,0.262
31.742,28.92,4.001,0.262
32.114,28.89,4.001,0.262
32.467,28.85,4.001,0.261
32.817,28.8,4.001,0.261
33.165,28.76,4.001,0.261
33.516,28.73,4.001,0.261
33.863,28.69,4.001,0.26
34.242,28.64,4.001,0.26
34.59,28.6,4.001,0.26
34.939,28.56,4.001,0.26
35.289,28.52,4.001,0.259
35.638,28.47,4.001,0.259
35.986,28.43,4.001,0.259
36.363,28.38,4.001,0.258
36.712,28.35,4.001,0.258
37.062,28.32,4.001,0.258
37.41,28.29,4.001,0.258
37.761,28.26,4.001,0.258
38.136,28.23,4.001,0.257
38.484,28.2,4.001,0.257
38.834,28.16,4.001,0.257
39.182,28.12,4.001,0.256
39.532,28.09,4.001,0.256
39.88,28.06,4.001,0.256
40.256,28.02,4.001,0.256
40.605,27.98,4.001,0.255
40.954,27.96,4.001,0.255
41.304,27.92,4.001,0.255
41.679,27.88,4.001,0.255
42.029,27.86,4.001,0.255
42.379,27.83,4.001,0.255
42.726,27.8,4.001,0.254
43.077,27.78,4.001,0.254
43.425,27.74,4.001,0.254
43.802,27.7,4.001,0.254
44.149,27.68,4.001,0.253
44.5,27.65,4.001,0.253
44.849,27.62,4.001,0.253
45.198,27.59,4.001,0.253
45.573,27.56,4.001,0.253
45.923,27.54,4.001,0.252
46.274,27.51,4.001,0.253
46.622,27.49,4.001,0.252
46.971,27.47,4.001,0.252
47.346,27.43,4.001,0.252
47.696,27.41,4.001,0.252
