Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.72,97.131,1165.572,0,0,1165.572
130.468,0.7128,96.187,1154.244,9.739,0.844,1144.505
260.936,0.7056,95.242,1142.904,19.281,1.687,1123.623
391.404,0.6984,94.298,1131.576,28.626,2.53,1102.95
521.873,0.6912,93.354,1120.248,37.774,3.372,1082.474
652.341,0.684,92.409,1108.908,46.726,4.214,1062.182
782.809,0.6768,91.465,1097.58,55.481,5.055,1042.099
913.277,0.6696,90.521,1086.252,64.039,5.895,1022.213
1043.745,0.6624,89.577,1074.924,72.401,6.735,1002.523
1174.213,0.6552,88.632,1063.584,80.566,7.575,983.018
1304.682,0.648,87.688,1052.256,88.534,8.414,963.722
1435.15,0.6408,86.744,1040.928,96.305,9.252,944.623
1565.618,0.6336,85.799,1029.588,103.879,10.089,925.709
1696.086,0.6264,84.855,1018.26,111.257,10.926,907.003
1826.554,0.6192,83.911,1006.932,118.438,11.762,888.494
1957.022,0.612,82.966,995.592,125.423,12.598,870.169
2087.49,0.6048,82.022,984.264,132.21,13.432,852.054
2217.959,0.5976,81.078,972.936,138.801,14.266,834.135
2348.427,0.5904,80.133,961.596,145.195,15.099,816.401
2478.895,0.5832,79.189,950.268,151.392,15.932,798.876
2609.363,0.576,78.245,938.94,157.393,16.763,781.547
2739.831,0.5688,77.3,927.6,163.197,17.593,764.403
2870.299,0.5616,76.356,916.272,168.804,18.423,747.468
3000.767,0.5544,75.412,904.944,174.214,19.251,730.73
3131.236,0.5472,74.468,893.616,179.428,20.079,714.188
3261.704,0.54,73.523,882.276,184.445,20.906,697.831
3392.172,0.5328,72.579,870.948,189.265,21.731,681.683
3522.64,0.5256,71.635,859.62,193.889,22.555,665.731
3653.108,0.5184,70.69,848.28,198.315,23.378,649.965
3783.576,0.5112,69.746,836.952,202.545,24.2,634.407
3914.045,0.504,68.802,825.624,206.578,25.021,619.046
4044.513,0.4968,67.857,814.284,210.415,25.84,603.869
4174.981,0.4896,66.913,802.956,214.055,26.658,588.901
4305.449,0.4824,65.969,791.628,217.498,27.475,574.13
4435.917,0.4752,65.024,780.288,220.744,28.29,559.544
4566.385,0.468,64.08,768.96,223.793,29.103,545.167
4696.853,0.4608,63.136,757.632,226.646,29.915,530.986
4827.322,0.4536,62.192,746.304,229.302,30.725,517.002
4957.79,0.4464,61.247,734.964,231.761,31.534,503.203
5088.258,0.4392,60.303,723.636,234.024,32.34,489.612
