Time,Current (A),Power Output (W)
0.001,55.81,261.099
0.373,55.39,258.578
0.75,54.82,254.143
1.155,53.42,246.098
1.535,52.01,245.044
1.918,50.95,231.533
2.267,47.12,226.262
2.618,47.1,225.339
2.965,47,221.287
3.315,46.65,224.624
3.664,47.75,224.278
4.013,47.27,217.649
4.389,46.58,220.675
4.74,45.93,217.771
5.088,45.31,215.127
5.437,44.77,208.357
5.787,44.39,212.143
6.135,44.46,211.043
6.512,44.38,209.423
6.86,44.08,206.671
7.21,43.7,208.904
7.558,43.51,210.297
7.934,43.75,206.512
8.284,42.81,206.958
8.633,42.6,206.341
8.984,42.31,203.648
9.332,41.93,206.99
9.682,41.62,206.214
10.057,40.75,206.958
10.407,41.34,202.624
10.757,41.08,203.617
11.105,40.71,203.46
11.454,40.8,206.245
11.804,40.99,204.537
12.181,40.72,202.006
12.529,40.74,202.037
12.88,40.31,199.408
13.228,40.29,197.275
13.577,38.85,190.653
13.927,38.24,195.805
14.277,38.94,196.458
14.636,39.94,195.084
14.992,39.35,193.164
15.351,38.95,198.382
15.699,39.24,194.633
16.049,38.18,193.669
16.424,38.78,193.372
16.774,38.75,198.291
17.124,39.32,197.214
17.472,39.23,194.494
17.821,39.54,195.535
18.197,39.65,193.342
18.545,39.36,192.217
18.896,38.87,191.774
19.245,38.43,193.045
19.594,38.41,195.445
19.944,38.96,189.054
20.32,37.92,190.947
20.669,37.33,190.736
21.017,37.69,191.859
21.367,38.18,192.691
21.717,38.22,190.473
22.066,38.1,190.114
22.442,38.49,189.141
22.791,38.36,191.715
23.14,38.26,190.619
23.489,38.17,190.026
23.84,38.22,190.59
24.188,38.03,192.691
24.565,37.99,189.909
24.967,37.74,191.418
25.333,37.6,186.334
25.694,37.38,187.549
26.042,37.19,189.968
26.392,37.13,189.851
26.768,36.88,188.461
27.118,37.22,186.506
27.521,37.11,185.882
27.868,37.3,189.141
28.218,37.39,188.519
28.567,37.34,188.432
28.917,37.25,185.002
29.265,36.94,186.592
29.625,36.92,187.983
30.009,37.26,187.215
30.368,37.23,184.974
30.718,36.93,186.563
31.093,36.86,183.868
31.443,36.4,183.131
31.844,36.42,183.529
32.194,36.59,181.172
32.543,36.42,180.296
32.893,36.39,181.685
33.241,36.33,181.685
33.591,36.17,178.991
33.951,35.94,179.046
34.306,35.95,180.435
34.666,36.05,179.727
35.016,36.38,181.088
35.417,36.47,178.338
35.767,36.24,176.269
36.116,36.1,177.031
36.464,36.17,180.352
36.842,35.96,178.338
37.191,36.04,180.435
37.54,36.32,177.058
37.889,36.15,176.296
38.239,36.23,178.146
38.587,36.08,177.031
38.938,36.16,178.749
39.314,36.26,178.146
39.662,36.02,175.507
40.011,36.09,176.431
40.361,36.16,177.112
40.711,36.31,176.377
41.06,35.99,175.507
41.435,36.06,177.249
41.784,36.12,177.876
42.135,35.97,177.004
42.537,36.08,174.307
42.887,36.32,172.733
43.235,36.03,176.976
