Time,Amps,Volts,Torque 2V (N · m)
0.005,4.66,2,0.406
0.392,22.63,2,0.397
0.796,22.82,2,0.405
1.169,22.7,2,0.404
1.579,22.71,2,0.403
1.934,22.71,2,0.401
2.282,22.7,2,0.4
2.631,22.69,2,0.399
3.006,22.66,2,0.398
3.355,22.66,2,0.398
3.703,22.64,2,0.397
4.053,22.62,2,0.397
4.403,22.62,2,0.397
4.777,22.74,2,0.397
5.126,22.72,2,0.396
5.476,22.67,2,0.396
5.825,22.63,2,0.395
6.202,22.57,2,0.395
6.566,22.55,2,0.395
6.927,22.52,2,0.394
7.302,22.49,2,0.394
7.652,22.45,2,0.393
8.001,22.41,2,0.393
8.349,22.41,2,0.393
8.7,22.39,2,0.393
9.047,22.38,2,0.392
9.425,22.38,2,0.392
9.772,22.37,2,0.392
10.122,22.37,2,0.392
10.471,22.36,2,0.392
10.845,22.36,2,0.392
11.196,22.36,2,0.391
11.545,22.35,2,0.391
11.893,22.34,2,0.391
12.244,22.34,2,0.391
12.592,22.33,2,0.391
12.968,22.32,2,0.39
13.317,22.31,2,0.39
13.667,22.31,2,0.39
14.017,22.3,2,0.39
14.365,22.3,2,0.39
14.713,22.29,2,0.39
15.091,22.28,2,0.389
15.439,22.27,2,0.389
15.789,22.27,2,0.389
16.137,22.27,2,0.389
16.488,22.26,2,0.389
16.836,22.26,2,0.389
17.211,22.26,2,0.389
17.562,22.25,2,0.389
17.911,22.25,2,0.389
18.26,22.25,2,0.389
18.608,22.24,2,0.388
18.985,22.23,2,0.388
19.334,22.23,2,0.388
19.684,22.22,2,0.388
20.033,22.22,2,0.388
20.384,22.2,2,0.388
20.757,22.2,2,0.388
21.107,22.19,2,0.388
21.457,22.19,2,0.387
21.805,22.18,2,0.387
22.154,22.18,2,0.387
22.53,22.17,2,0.387
22.879,22.16,2,0.387
23.229,22.15,2,0.387
23.577,22.15,2,0.387
23.927,22.19,2,0.387
24.276,22.16,2,0.387
24.653,22.15,2,0.387
25.002,22.15,2,0.386
25.35,22.12,2,0.386
25.699,22.11,2,0.386
26.05,22.1,2,0.386
26.425,22.09,2,0.386
26.775,22.09,2,0.386
27.125,22.09,2,0.386
27.473,22.07,2,0.385
27.821,22.07,2,0.386
28.197,22.05,2,0.386
28.547,22.05,2,0.385
28.894,22.04,2,0.385
29.246,22.04,2,0.385
29.593,22.09,2,0.385
29.968,22.05,2,0.385
30.318,22.02,2,0.385
30.667,22.02,2,0.385
31.017,22,2,0.385
31.367,22,2,0.384
31.74,21.99,2,0.385
32.091,21.99,2,0.384
32.44,21.97,2,0.384
32.789,21.97,2,0.384
33.138,21.97,2,0.384
33.515,21.96,2,0.384
33.863,21.94,2,0.384
