Time,Amps,Volts,Torque 2V (N · m)
0.005,7.1,2,0.238
0.391,11.36,2,0.236
0.796,11.62,2,0.249
1.171,12.05,2,0.244
1.578,11.67,2,0.244
1.96,11.76,2,0.244
2.334,11.78,2,0.243
2.683,11.82,2,0.243
3.033,11.82,2,0.243
3.382,11.82,2,0.243
3.757,11.82,2,0.243
4.108,11.84,2,0.242
4.457,11.83,2,0.245
4.806,12.28,2,0.243
5.155,11.72,2,0.242
5.503,11.73,2,0.241
5.881,11.67,2,0.241
6.23,11.74,2,0.241
6.58,12.15,2,0.24
6.928,11.55,2,0.24
7.278,11.6,2,0.243
7.654,12.06,2,0.241
8.003,11.97,2,0.238
8.351,11.51,2,0.239
8.701,11.54,2,0.239
9.051,11.56,2,0.238
9.399,11.59,2,0.238
9.775,11.58,2,0.238
10.123,11.57,2,0.238
10.473,11.58,2,0.238
10.821,11.59,2,0.238
11.197,11.6,2,0.238
11.547,11.6,2,0.24
11.895,11.8,2,0.237
12.245,11.43,2,0.236
12.594,11.43,2,0.237
12.969,11.41,2,0.236
13.319,11.38,2,0.235
13.667,11.32,2,0.236
14.016,11.53,2,0.231
14.366,11.11,2,0.228
14.716,10.78,2,0.225
15.075,10.71,2,0.224
15.431,10.66,2,0.224
15.79,10.56,2,0.222
16.139,10.52,2,0.223
16.488,10.72,2,0.223
16.838,10.68,2,0.223
17.213,10.63,2,0.222
17.562,10.6,2,0.222
17.912,10.46,2,0.22
18.262,10.41,2,0.217
18.611,10.21,2,0.215
18.985,10.22,2,0.215
19.336,10.35,2,0.215
19.684,10.3,2,0.215
20.035,10.28,2,0.215
20.382,10.34,2,0.215
20.758,10.29,2,0.215
21.107,10.31,2,0.215
21.456,10.32,2,0.215
21.806,10.35,2,0.215
22.156,10.28,2,0.214
22.531,10.22,2,0.215
22.881,10.28,2,0.214
23.229,10.32,2,0.215
23.58,10.26,2,0.214
23.928,10.15,2,0.214
24.304,10.21,2,0.213
24.653,10.16,2,0.214
25.003,10.31,2,0.214
25.352,10.16,2,0.213
25.703,10.16,2,0.212
26.05,10.04,2,0.212
26.426,10.13,2,0.211
26.775,10.04,2,0.212
27.126,10.27,2,0.213
27.474,10.31,2,0.213
27.823,10.45,2,0.212
28.199,10.26,2,0.212
28.547,10.12,2,0.211
28.897,9.94,2,0.202
29.246,9.78,2,0.202
29.597,9.61,2,0.203
29.944,9.61,2,0.203
30.32,10.17,2,0.208
30.668,10.37,2,0.207
31.018,10.28,2,0.208
31.367,10.43,2,0.208
31.743,10.36,2,0.208
32.092,10.35,2,0.206
32.442,10.05,2,0.205
32.79,10.03,2,0.205
33.139,9.88,2,0.204
33.489,9.87,2,0.204
33.865,9.79,2,0.204
34.214,9.68,2,0.202
34.564,9.55,2,0.2
34.912,9.71,2,0.201
35.262,9.58,2,0.201
35.638,9.65,2,0.201
35.987,9.75,2,0.202
36.337,9.72,2,0.202
36.686,9.68,2,0.201
37.034,9.67,2,0.201
37.383,9.62,2,0.201
37.759,9.6,2,0.201
38.107,9.67,2,0.2
38.458,9.58,2,0.199
38.807,9.38,2,0.198
39.182,9.34,2,0.197
39.532,9.24,2,0.196
39.882,9.17,2,0.201
40.23,9.93,2,0.199
40.579,9.63,2,0.199
40.955,9.62,2,0.199
41.305,9.58,2,0.197
41.653,9.36,2,0.196
42.003,9.32,2,0.196
42.351,9.31,2,0.191
42.7,8.99,2,0.189
43.06,8.81,2,0.19
43.417,9.69,2,0.195
43.775,9.74,2,0.194
44.126,9.51,2,0.193
44.473,9.61,2,0.193
44.823,9.27,2,0.191
45.2,9.07,2,0.19
45.548,8.93,2,0.186
45.897,8.66,2,0.182
46.246,8.46,2,0.181
46.596,8.5,2,0.18
46.97,8.41,2,0.179
47.32,8.34,2,0.178
47.668,8.25,2,0.178
48.019,8.2,2,0.176
48.366,8.13,2,0.176
48.742,8.1,2,0.175
49.091,8.05,2,0.173
49.441,8.02,2,0.173
49.79,7.97,2,0.172
50.165,7.85,2,0.17
50.515,7.77,2,0.169
50.865,7.71,2,0.165
51.213,7.64,2,0.165
51.561,7.63,2,0.165
51.911,7.62,2,0.166
52.288,7.63,2,0.165
52.636,7.62,2,0.165
52.987,7.63,2,0.166
53.335,7.62,2,0.166
53.685,7.64,2,0.166
54.061,7.64,2,0.166
54.411,7.63,2,0.166
54.759,7.63,2,0.165
55.107,7.61,2,0.166
55.457,7.58,2,0.165
55.832,7.56,2,0.165
56.182,7.55,2,0.165
56.532,7.54,2,0.165
56.884,7.56,2,0.165
57.229,7.55,2,0.166
57.606,7.57,2,0.165
57.955,7.56,2,0.165
58.304,7.54,2,0.165
58.653,7.55,2,0.165
59.002,7.54,2,0.165
59.378,7.52,2,0.165
59.726,7.51,2,0.165
60.075,7.56,2,0.165
60.424,7.52,2,0.164
60.775,7.49,2,0.165
61.151,7.51,2,0.164
61.499,7.53,2,0.165
61.85,7.52,2,0.165
62.225,7.52,2,0.164
62.601,7.52,2,0.164
62.949,7.54,2,0.164
63.299,7.51,2,0.164
63.646,7.52,2,0.164
64.024,7.5,2,0.164
64.373,7.48,2,0.164
64.721,7.51,2,0.164
65.071,7.52,2,0.164
65.42,7.52,2,0.15
65.768,6.84,2,0.158
66.127,7.78,2,0.158
66.485,7.82,2,0.157
66.843,7.65,2,0.157
67.193,7.78,2,0.158
67.542,7.77,2,0.156
67.892,7.55,2,0.156
68.268,7.45,2,0.155
68.617,7.41,2,0.155
68.966,7.35,2,0.155
69.314,7.34,2,0.155
69.664,7.28,2,0.154
70.038,7.23,2,0.154
70.389,7.18,2,0.153
70.737,7.13,2,0.154
71.087,7.13,2,0.153
71.436,7.12,2,0.153
71.812,7.05,2,0.153
72.161,7.04,2,0.153
72.511,7.05,2,0.153
72.858,7.07,2,0.152
73.208,6.96,2,0.153
73.584,6.97,2,0.152
73.934,6.97,2,0.152
74.284,6.96,2,0.152
74.632,6.86,2,0.138
74.981,6.54,2,0.139
75.359,6.54,2,0.139
75.706,6.52,2,0.139
76.057,6.48,2,0.139
76.405,6.48,2,0.139
76.755,6.48,2,0.139
77.104,6.46,2,0.139
77.464,6.53,2,0.14
77.818,6.59,2,0.139
78.178,6.5,2,0.139
78.528,6.45,2,0.139
78.877,6.47,2,0.14
79.253,6.55,2,0.139
79.601,6.52,2,0.14
79.95,6.58,2,0.14
80.299,6.57,2,0.14
80.649,6.53,2,0.14
81.024,6.53,2,0.14
81.373,6.59,2,0.14
81.721,6.61,2,0.141
82.072,6.62,2,0.14
82.42,6.63,2,0.14
