Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.6,105.0,0,0.0,0,0
50,2.577096546863989,104.07505285412262,0,14.144902977500003,0,0
100,2.5541930937279775,103.15010570824523,0,28.038385710000004,0,0
150,2.5312896405919663,102.22515856236787,0,41.680448197500006,0,0
200,2.508386187455955,101.30021141649048,0,55.071090440000006,0,0
250,2.4854827343199437,100.3752642706131,0,68.21031243750001,0,0
300,2.4625792811839324,99.45031712473572,0,81.09811419,0,0
350,2.439675828047921,98.52536997885835,0,93.73449569750001,0,0
400,2.41677237491191,97.60042283298097,0,106.11945696000002,0,0
450,2.3938689217758986,96.6754756871036,0,118.2529979775,0,0
500,2.3709654686398873,95.75052854122622,0,130.13511875000003,0,0
550,2.348062015503876,94.82558139534885,0,141.76581927750001,0,0
600,2.325158562367865,93.90063424947147,0,153.14509956,0,0
650,2.3022551092318535,92.97568710359408,0,164.27295959750003,0,0
700,2.2793516560958422,92.0507399577167,0,175.14939939,0,0
750,2.256448202959831,91.12579281183932,0,185.7744189375,0,0
800,2.2335447498238197,90.20084566596195,0,196.14801824000003,0,0
850,2.2106412966878084,89.27589852008457,0,206.27019729750003,0,0
900,2.187737843551797,88.35095137420718,0,216.14095611000002,0,0
950,2.164834390415786,87.42600422832982,0,225.7602946775,0,0
1000,2.1419309372797746,86.50105708245243,0,235.12821300000004,0,0
1050,2.1190274841437633,85.57610993657505,0,244.24471107750003,0,0
1100,2.096124031007752,84.65116279069767,0,253.10978891000002,0,0
1150,2.0732205778717407,83.72621564482029,0,261.72344649750005,0,0
1200,2.0503171247357295,82.80126849894292,0,270.08568384,0,0
1250,2.027413671599718,81.87632135306553,0,278.1965009375,0,0
1300,2.004510218463707,80.95137420718817,0,286.0558977900001,0,0
1350,1.9816067653276956,80.02642706131078,0,293.6638743975001,0,0
1400,1.9587033121916841,79.1014799154334,0,301.02043076000007,0,0
1450,1.935799859055673,78.17653276955603,0,308.12556687750003,0,0
1500,1.9128964059196618,77.25158562367865,0,314.97928275000004,0,0
1550,1.8899929527836505,76.32663847780127,0,321.5815783775,0,0
1600,1.8670894996476395,75.4016913319239,0,327.93245376000004,0,0
1650,1.8441860465116278,74.4767441860465,0,334.03190889750005,0,0
1700,1.8212825933756167,73.55179704016913,0,339.8799437900001,0,0
1750,1.7983791402396054,72.62684989429175,0,345.47655843750005,0,0
1800,1.775475687103594,71.70190274841437,0,350.82175284000004,0,0
1850,1.7525722339675829,70.776955602537,0,355.9155269975,0,0
1900,1.7296687808315716,69.85200845665962,0,360.75788091000004,0,0
1950,1.7067653276955603,68.92706131078224,0,365.3488145775,0,0
2000,1.6838618745595493,68.00211416490487,0,369.68832800000007,0,0
2050,1.6609584214235376,67.07716701902748,0,373.7764211775001,0,0
2100,1.6380549682875265,66.1522198731501,0,377.6130941100001,0,0
2150,1.6151515151515152,65.22727272727273,0,381.1983467975001,0,0
2200,1.592248062015504,64.30232558139535,0,384.53217924000006,0,0
2250,1.569344608879493,63.377378435517976,0,387.61459143750005,0,0
2300,1.5464411557434812,62.452431289640586,0,390.44558339,0,0
2350,1.5235377026074701,61.52748414376322,0,393.02515509750003,0,0
2400,1.5006342494714588,60.602536997885835,0,395.35330656,0,0
2450,1.4777307963354473,59.67758985200845,0,397.4300377775,0,0
2500,1.4548273431994363,58.752642706131084,0,399.25534875,0,0
2550,1.431923890063425,57.8276955602537,0,400.8292394775,0,0
2600,1.4090204369274137,56.90274841437632,0,402.1517099600001,0,0
2650,1.3861169837914027,55.97780126849895,0,403.2227601975001,0,0
2700,1.363213530655391,55.05285412262156,0,404.0423901900001,0,0
2750,1.34031007751938,54.127906976744185,0,404.61059993750007,0,0
2800,1.3174066243833686,53.20295983086681,0,404.92738944000007,0,0
2850,1.2945031712473574,52.27801268498943,0,404.99275869750005,0,0
2900,1.2715997181113459,51.353065539112045,0,404.80670771000007,0,0
2950,1.2486962649753348,50.428118393234676,0,404.36923647750007,0,0
3000,1.2257928118393235,49.503171247357294,0,403.68034500000005,0,0
3050,1.2028893587033123,48.57822410147991,0,402.7400332775,0,0
3100,1.1799859055673008,47.653276955602536,0,401.54830131,0,0
3150,1.1570824524312897,46.72832980972516,0,400.1051490975001,0,0
3200,1.1341789992952784,45.803382663847785,0,398.41057664000016,0,0
3250,1.1112755461592672,44.8784355179704,0,396.46458393750015,0,0
3300,1.0883720930232557,43.95348837209302,0,394.26717099000007,0,0
3350,1.0654686398872446,43.02854122621565,0,391.81833779750013,0,0
3400,1.0425651867512333,42.10359408033827,0,389.1180843600001,0,0
3450,1.019661733615222,41.178646934460886,0,386.16641067750004,0,0
3500,0.9967582804792107,40.2536997885835,0,382.9633167500001,0,0
3550,0.9738548273431993,39.32875264270613,0,379.5088025775001,0,0
3600,0.9509513742071882,38.40380549682876,0,375.80286816,0,0
3650,0.928047921071177,37.47885835095138,0,371.84551349750006,0,0
3700,0.9051444679351656,36.553911205073994,0,367.63673859000005,0,0
3750,0.8822410147991543,35.62896405919661,0,363.17654343749996,0,0
3800,0.8593375616631432,34.70401691331924,0,358.46492804,0,0
3850,0.8364341085271318,33.77906976744186,0,353.5018923975,0,0
3900,0.8135306553911205,32.85412262156448,0,348.28743651,0,0
3950,0.7906272022551092,31.9291754756871,0,342.82156037749996,0,0
4000,0.7677237491190981,31.00422832980973,0,337.10426400000017,0,0
4050,0.7448202959830867,30.07928118393235,0,331.1355473775002,0,0
4100,0.7219168428470755,29.15433403805497,0,324.91541051000013,0,0
4150,0.6990133897110641,28.229386892177587,0,318.4438533975001,0,0
4200,0.6761099365750527,27.304439746300204,0,311.7208760400001,0,0
4250,0.6532064834390416,26.379492600422836,0,304.7464784375002,0,0
4300,0.6303030303030304,25.454545454545457,0,297.52066059000015,0,0
4350,0.607399577167019,24.529598308668074,0,290.04342249750016,0,0
4400,0.5844961240310077,23.60465116279069,0,282.3147641600001,0,0
4450,0.5615926708949966,22.679704016913323,0,274.33468557750007,0,0
4500,0.5386892177589853,21.75475687103594,0,266.1031867500001,0,0
4550,0.5157857646229739,20.82980972515856,0,257.6202676775001,0,0
4600,0.4928823114869626,19.90486257928118,0,248.88592835999998,0,0
4650,0.4699788583509515,18.97991543340381,0,239.9001687975001,0,0
4700,0.44707540521494016,18.054968287526428,0,230.66298899000003,0,0
4750,0.4241719520789288,17.13002114164905,0,221.1743889375,0,0
